# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: bne.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             358   N   000001c0   000047a1   000001c4   x14_a4     0000000b
             359   N   000001c4   02f70263   000001c6   x15_a5     00000008
             360   N   000001c6   000047a5   000001ca   ---        --------
             361   N   000001ca   00f70f63   000001cc   x15_a5     00000009
             362   N   000001cc   000047ad   000001d0   ---        --------
             363   N   000001d0   00f70c63   000001d2   x15_a5     0000000b
             364   N   000001d2   47ad0713   000001ea   ---        --------
             368   N   000001ea   07130013   000004a0   ---        --------
             371   N   000004a0   c5428293   000004a4   x05_t0     000004a0
             372   N   000004a4   00008282   000004a8   x05_t0     000000f4
             373   N   000004a8   00000013   000000f4   ---        --------
             376   N   000000f4   0000006f   000000f8   ---        --------
             377   N   000000f8   ffffffff   000000f8   ---        --------
